Especie;Familia;Nombre común;Genero;Diámetro;Altura;Copa;Riego;Unidades;Código vía
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.6;NO RIEGO;1;3659
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;4;1.5;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;4;5;2;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;5;2.5;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;5.5;2.5;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;1.5;NO RIEGO;1;3433
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.06;5.5;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;4;1.5;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;4;1.5;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;6;5;2.5;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;6;3;NO RIEGO;1;3660
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;5;3;NO RIEGO;1;3660
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3.5;2.5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3.5;2.5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3.5;2.5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3.5;2.5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3.5;3;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;5;3.5;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;5;3.5;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;5;3.5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0;20;0;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;5;3.5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0;0;0;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;6;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;6;6;MANUAL;1;3432
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.1;4.5;3;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;6;5;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;1;MANUAL;1;3429
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;2;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;5.5;3;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;2;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;5.5;3;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;5.5;3;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;5.5;3;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;2;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;7;5;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;2;MANUAL;1;3614
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;5.5;3;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;2.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;7;5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;5.5;3;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;5.5;3;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;7;5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.11;5;3.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;7;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.07;3.25;2.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.11;5;3.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;2;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;7;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;4;2.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;7;6.5;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;7;6.5;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.09;5;3.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.14;7;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.22;8.5;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.17;7;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.18;8.5;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.17;8.5;7.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;4;2.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.11;5;3.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.11;5;3.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.11;5;3.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;7;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;7;6.5;MANUAL;1;3659
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.13;7;6.5;MANUAL;1;3427
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.17;7;6.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;7;6.5;MANUAL;1;3426
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;3.5;4;MANUAL;1;3430
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;3;5;4;DIFUSORES;1;3105
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.3;5;3;ASPERSION;1;3105
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.3;5;3;ASPERSION;1;3225
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.3;5;3;ASPERSION;1;3105
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.3;5;3;ASPERSION;1;3105
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.3;5;3;ASPERSION;1;3105
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.3;5;3;ASPERSION;1;3225
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;6;2.5;MANUAL;1;3379
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.03;4;1.5;MANUAL;1;3379
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.03;4;1.5;MANUAL;1;3379
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;3.5;0.02;0.5;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.02;2;1;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;6;3;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;5.5;3;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;5.5;3;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;5.5;3;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;5.5;3;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.02;2;0.5;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.07;7;3;MANUAL;1;3396
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.03;2.5;1;MANUAL;1;3390
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.5;0.5;MANUAL;1;3396
