rdfs_label;om_area;om_perimetro;om_tieneCodigoBarrio;om_perteneceADistrito
Argentina;113516.77;1426.21;12;centro
Campus Universitario;1504384.69;6002.54;46;norte
Industrial Las Capellanias;1927133.8;7120.85;58;oeste
Rincon De Ballesteros;79917.96;1424.58;1;pedanias
Santa Clara;87959.36;1783.49;10;centro
Reyes Huertas;154660.29;1861.92;11;centro
Charca Musia;411320.79;2775.52;13;sur
San Marquino;103488.79;1747.71;14;centro
San Blas;144380.38;2170.68;15;centro
San Justo;81772.79;1315.59;16;centro
San Jorge;94552.36;1529.5;17;norte
Seminario;76125.36;1352.23;18;norte
La Madrila;74797.55;1040.33;19;oeste
Valdesalor;167808.14;1790.37;2;pedanias
La Zambomba;157228.06;2114.68;20;centro
Aguas Vivas;152890.55;2449.97;21;centro
Moctezuma;189719.03;2261.54;22;centro
Los Fratres;187700.17;2178.62;23;centro
El Rodeo;428395.24;2864.06;24;centro
Espiritu Santo;166735.62;1768.71;25;sur
El Peru;175946.79;2192.13;26;centro
Las Trescientas;51166.66;1012.42;27;sur
Poligono Ganadero;1089542.02;6467.69;28;norte
El Vivero;159960.55;2129.98;29;oeste
Estacion Arroyo Malpartida;117412.08;2368.45;3;pedanias
Cabezarrubia;258626.62;2217.97;30;oeste
Recinto Ferial;179965.8;2320.84;31;sur
San Antonio (Nuevo Caceres);570866.51;3122.05;32;sur
Ronda;303647.66;2651.02;33;norte
Macondo;206673.17;1922.27;34;oeste
Canovas;154574.5;1857.47;35;centro
R 66 A (El Arco);284458.18;2478.86;36;oeste
Casa Plata;286047.55;2355.19;37;sur
Residencial Universidad;156905.29;2010.08;38;norte
Caceres El Viejo;773455.93;3941.28;39;norte
La Paloma;139260.49;1770.56;4;sur
Gredos;198988.89;1777.63;40;norte
Nueva Ciudad;207765.43;1841.68;41;norte
Vegas Del Mocho;259921.1;2314.35;42;norte
Vistahermosa;484234.04;3630.82;43;sur
Maltravieso;234976.99;2092.15;44;sur
Huertas;139835.56;1771.8;45;centro
San Francisco;252006.45;2705.49;47;centro
Los Castellanos;325282.34;2364.92;48;oeste
El Junquillo;311396.34;2248.77;49;oeste
La Abundancia;226718.61;2398.58;5;sur
Mejostilla;789514.77;4547.89;50;norte
Montesol;770630.29;4528.07;51;norte
Plaza Mayor;44009.61;1057.02;52;centro
Margallo;121360.69;1796.34;53;centro
Llopis Ivorra;167398.92;1747.23;54;sur
La Sierrilla;868527.32;5620.24;55;oeste
Cementerio;96142.57;1289.73;56;norte
Estacion;417402.79;5033.81;57;oeste
Industrial Mejostilla;457387.57;3498.5;59;norte
Sierra De San Pedro;368866.28;3110.03;6;sur
R 66 B (Parque Del Principe);308977.79;2242.37;60;oeste
Paseo Alto;49095.68;1763.55;61;centro
Peña Redonda;51922.97;1027.67;62;centro
Hernan Cortes;45226.35;1953.64;63;centro
Casas Baratas;108664.84;1626.81;64;centro
Ciudad Monumental;90964.45;1251.5;65;centro
Ribera Del Marco;90176.15;1859.07;66;centro
Virgen De Guadalupe;66315.09;1373.99;67;centro
Parque Del Principe;489598.49;3595.04;68;oeste
Virgen De La Montaña;47936.64;1015.9;69;centro
Barriada Minera;113206.09;1399.14;7;sur
Hernandez Pacheco;52428.86;1083.29;70;centro
Industrial Aldea Moret;602798.11;3765.91;71;sur
Infanta Isabel;103725.76;1833.53;72;norte
La Bondad;61023.62;1394.92;73;centro
Vera Cruz;60009.52;987.81;74;sur
Las Candelas;56789.55;1052.18;75;norte
La Cañada;109035.09;1782.1;77;sur
Ceres Golf;1103003.81;5469.91;78;sur
San Juan;89696.2;1637.67;8;centro
Santiago;88619.19;1498.69;9;centro
