om_situadaEnBarrio;om_nombreVia;om_longitudVia;om_tipoVia;om_tieneCodigoVia
35;De España;1100.52;Avda;3048
69;De España;1100.52;Avda;3048
15;De La Universidad;2606.91;Avda;3425
18;De La Universidad;2606.91;Avda;3425
45;De La Universidad;2606.91;Avda;3425
46;De La Universidad;2606.91;Avda;3425
75;De La Universidad;2606.91;Avda;3425
19;Virgen De Guadalupe;1035.6;Avda;537
26;Virgen De Guadalupe;1035.6;Avda;537
30;Virgen De Guadalupe;1035.6;Avda;537
67;Virgen De Guadalupe;1035.6;Avda;537
68;Virgen De Guadalupe;1035.6;Avda;537
11;Virgen De La Montaña;357.04;Avda;541
35;Virgen De La Montaña;357.04;Avda;541
69;Virgen De La Montaña;357.04;Avda;541
21;Huesca;79.93;Calle;1006
9;Hornillos;99.17;Calle;1195
16;Alcantara;113.89;Calle;12
8;Pintores;227.73;Calle;1205
54;Chile;125.35;Calle;127
35;Clemente Sanchez Ramos;121.05;Calle;132
67;Clemente Sanchez Ramos;121.05;Calle;132
25;Rio Turia;118.69;Calle;1335
64;Comandante Joaquin Gonzalez;183.22;Calle;136
8;San Pedro;126.79;Calle;1556
18;Tintoretto;111.54;Calle;162
10;Donoso Cortes;171.14;Calle;168
8;Donoso Cortes;171.14;Calle;168
25;Duero;70.84;Calle;169
63;Espadan;79.74;Calle;1717
25;Rio Ebro;70.63;Calle;172
7;Aliseda;44.47;Calle;19
65;Adarve De Santa Ana;78.45;Calle;2
8;Adarve De Santa Ana;78.45;Calle;2
65;Hernando Pizarro;77.21;Calle;2083
5;Garrovillas;159.9;Calle;209
8;Clavellinas;104.82;Calle;2093
25;Almonte;131.1;Calle;21
52;General Ezponda;121.25;Calle;211
53;General Margallo;525;Calle;213
35;General Primo De Rivera;129.13;Calle;2286
67;General Primo De Rivera;129.13;Calle;2286
14;Valincoso;212.68;Calle;272
15;Lope De Vega;189.43;Calle;284
65;Ancha;91.17;Calle;32
8;Moret;139.44;Calle;330
5;Santa Lucia;278.53;Calle;3367
63;Fray Bartolome De Las Casas;124.63;Calle;3559
19;Abilio Rodriguez Rosillo;290.41;Calle;3656
8;Parras;229.59;Calle;368
69;Periodista Sanchez Asensio;83.58;Calle;377
58;Esquiladores;880.52;Calle;3994
58;Hilanderas;884.15;Calle;3998
15;San Justo;440.18;Calle;441
